,0
2022-01-13 00:00:00,2.59
2022-01-13 01:00:00,0.9550000000000001
2022-01-13 02:00:00,0.7974999999999991
2022-01-13 03:00:00,0.855
2022-01-13 04:00:00,0.8024999999999991
2022-01-13 05:00:00,1.5075
2022-01-13 06:00:00,0.8125
2022-01-13 07:00:00,1.5625
2022-01-13 08:00:00,1.095
2022-01-13 09:00:00,1.589999999999999
2022-01-13 10:00:00,2.5025
2022-01-13 11:00:00,3.2
2022-01-13 12:00:00,3.0775
2022-01-13 13:00:00,2.755
2022-01-13 14:00:00,2.8675
2022-01-13 15:00:00,2.8025
2022-01-13 16:00:00,2.875
2022-01-13 17:00:00,3.282499999999999
2022-01-13 18:00:00,3.0625
2022-01-13 19:00:00,2.9525
2022-01-13 20:00:00,3.1775
2022-01-13 21:00:00,2.9425
2022-01-13 22:00:00,2.74
2022-01-13 23:00:00,2.98
2022-01-14 00:00:00,2.355
2022-01-14 01:00:00,0.9425
2022-01-14 02:00:00,0.81
2022-01-14 03:00:00,0.9625
2022-01-14 04:00:00,0.8725
2022-01-14 05:00:00,1.6
2022-01-14 06:00:00,0.7775000000000001
2022-01-14 07:00:00,1.412499999999999
2022-01-14 08:00:00,0.872499999999999
2022-01-14 09:00:00,1.6025
2022-01-14 10:00:00,2.755
2022-01-14 11:00:00,3.1025
2022-01-14 12:00:00,2.9875
2022-01-14 13:00:00,2.9225000000000003
2022-01-14 14:00:00,3.0125
2022-01-14 15:00:00,3.1475
2022-01-14 16:00:00,3.235
2022-01-14 17:00:00,3.275
2022-01-14 18:00:00,2.9725
2022-01-14 19:00:00,3.0125
2022-01-14 20:00:00,3.1825
2022-01-14 21:00:00,3.07
2022-01-14 22:00:00,2.88
2022-01-14 23:00:00,2.9825
2022-01-15 00:00:00,2.5375
2022-01-15 01:00:00,0.8875000000000001
2022-01-15 02:00:00,0.75
2022-01-15 03:00:00,1.45
2022-01-15 04:00:00,0.8300000000000001
2022-01-15 05:00:00,1.467499999999999
2022-01-15 06:00:00,0.77
2022-01-15 07:00:00,1.55
2022-01-15 08:00:00,1.01
2022-01-15 09:00:00,1.429999999999999
2022-01-15 10:00:00,1.1025
2022-01-15 11:00:00,3.497499999999999
2022-01-15 12:00:00,3.135
2022-01-15 13:00:00,2.9275
2022-01-15 14:00:00,3.1225
2022-01-15 15:00:00,3.1575
2022-01-15 16:00:00,2.935
2022-01-15 17:00:00,3.242499999999999
2022-01-15 18:00:00,3.0475
2022-01-15 19:00:00,2.9875
2022-01-15 20:00:00,3.0225
2022-01-15 21:00:00,2.9825
2022-01-15 22:00:00,2.7125
2022-01-15 23:00:00,2.9825
2022-01-16 00:00:00,2.3525
2022-01-16 01:00:00,0.919999999999999
2022-01-16 02:00:00,0.785
2022-01-16 03:00:00,0.799999999999999
2022-01-16 04:00:00,0.8250000000000001
2022-01-16 05:00:00,1.435
2022-01-16 06:00:00,0.7725000000000001
2022-01-16 07:00:00,1.4825
2022-01-16 08:00:00,1.085
2022-01-16 09:00:00,1.44
2022-01-16 10:00:00,0.7525000000000001
2022-01-16 11:00:00,1.51
2022-01-16 12:00:00,2.094999999999999
2022-01-16 13:00:00,2.7125
2022-01-16 14:00:00,2.62
2022-01-16 15:00:00,2.5300000000000002
2022-01-16 16:00:00,2.795
2022-01-16 17:00:00,2.95
2022-01-16 18:00:00,2.35
2022-01-16 19:00:00,2.7325
2022-01-16 20:00:00,2.705
2022-01-16 21:00:00,2.38
2022-01-16 22:00:00,2.5300000000000002
2022-01-16 23:00:00,2.5425
2022-01-17 00:00:00,1.4125
2022-01-17 01:00:00,0.8475
2022-01-17 02:00:00,0.785
2022-01-17 03:00:00,1.065
2022-01-17 04:00:00,0.8075
2022-01-17 05:00:00,1.3725
2022-01-17 06:00:00,0.7675000000000001
2022-01-17 07:00:00,1.3725
2022-01-17 08:00:00,1.03
2022-01-17 09:00:00,1.4725000000000001
2022-01-17 10:00:00,2.6325000000000003
2022-01-17 11:00:00,2.7350000000000003
2022-01-17 12:00:00,2.47
2022-01-17 13:00:00,2.245
2022-01-17 14:00:00,2.3375
2022-01-17 15:00:00,2.394999999999999
2022-01-17 16:00:00,2.3275
2022-01-17 17:00:00,2.785
2022-01-17 18:00:00,2.505
2022-01-17 19:00:00,2.627499999999999
2022-01-17 20:00:00,2.657499999999999
2022-01-17 21:00:00,2.5225
2022-01-17 22:00:00,2.355
2022-01-17 23:00:00,2.485
2022-01-18 00:00:00,1.975
2022-01-18 01:00:00,0.8200000000000001
2022-01-18 02:00:00,0.78
2022-01-18 03:00:00,1.0375
2022-01-18 04:00:00,0.7725000000000001
2022-01-18 05:00:00,1.2175
2022-01-18 06:00:00,0.72
2022-01-18 07:00:00,1.1175
2022-01-18 08:00:00,0.795
2022-01-18 09:00:00,1.305
2022-01-18 10:00:00,2.195
2022-01-18 11:00:00,2.29
2022-01-18 12:00:00,2.21
2022-01-18 13:00:00,2.0425
2022-01-18 14:00:00,2.1875
2022-01-18 15:00:00,2.205
2022-01-18 16:00:00,2.195
2022-01-18 17:00:00,2.552499999999999
2022-01-18 18:00:00,2.26
2022-01-18 19:00:00,2.582499999999999
2022-01-18 20:00:00,2.6375
2022-01-18 21:00:00,2.5875
2022-01-18 22:00:00,2.315
2022-01-18 23:00:00,2.6675
2022-01-19 00:00:00,2.005
2022-01-19 01:00:00,0.8625
2022-01-19 02:00:00,0.789999999999999
2022-01-19 03:00:00,0.7725000000000001
2022-01-19 04:00:00,0.79
2022-01-19 05:00:00,1.28
2022-01-19 06:00:00,0.7075
2022-01-19 07:00:00,1.19
2022-01-19 08:00:00,0.847499999999999
2022-01-19 09:00:00,1.29
2022-01-19 10:00:00,2.2925
2022-01-19 11:00:00,2.365
2022-01-19 12:00:00,2.1725
2022-01-19 13:00:00,2.16
2022-01-19 14:00:00,2.4375
2022-01-19 15:00:00,2.335
2022-01-19 16:00:00,2.395
2022-01-19 17:00:00,2.54
2022-01-19 18:00:00,2.245
2022-01-19 19:00:00,2.315
2022-01-19 20:00:00,2.5875
2022-01-19 21:00:00,2.4275
2022-01-19 22:00:00,2.235
2022-01-19 23:00:00,2.3975
2022-01-20 00:00:00,1.8175000000000001
2022-01-20 01:00:00,0.8275
2022-01-20 02:00:00,0.78
2022-01-20 03:00:00,1.3025
2022-01-20 04:00:00,0.8300000000000001
2022-01-20 05:00:00,1.3475000000000001
2022-01-20 06:00:00,0.7025
2022-01-20 07:00:00,1.24
2022-01-20 08:00:00,0.809999999999999
2022-01-20 09:00:00,1.345
2022-01-20 10:00:00,2.1525
2022-01-20 11:00:00,2.33
2022-01-20 12:00:00,2.1575
2022-01-20 13:00:00,2.0425
2022-01-20 14:00:00,2.14
2022-01-20 15:00:00,2.1775
2022-01-20 16:00:00,2.245
2022-01-20 17:00:00,2.455
2022-01-20 18:00:00,2.44
2022-01-20 19:00:00,2.415
2022-01-20 20:00:00,2.4575
2022-01-20 21:00:00,2.364999999999999
2022-01-20 22:00:00,2.2849999999999993
2022-01-20 23:00:00,2.455
